YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1959,-6.60,-5.40,-2.80,-5.90,-1.60,0.90,3.60,4.70,3.30,3.40,-1.00,-1.10,-5.37,-3.43,3.07,1.90,-0.96
1960,-2.50,-5.10,-1.60,-1.40,0.40,2.50,5.30,5.70,5.90,0.70,0.40,-2.20,-2.90,-0.87,4.50,2.33,0.77
1961,-2.10,-3.60,-6.90,-5.60,0.20,2.40,4.20,6.40,4.60,4.10,-1.40,-5.80,-2.63,-4.10,4.33,2.43,0.01
1962,-2.90,-3.70,-7.20,-3.00,0.50,1.10,4.10,5.50,3.60,-1.80,-2.60,-3.10,-4.13,-3.23,3.57,-0.27,-1.02
1963,-6.70,999.90,-3.00,-3.90,0.40,3.00,3.30,4.60,4.00,2.00,-2.80,-3.70,-5.11,-2.17,3.63,1.07,-0.64
1964,-5.20,-6.00,-1.70,-2.20,-1.00,1.50,3.70,4.40,0.80,0.50,-5.90,-6.40,-4.97,-1.63,3.20,-1.53,-1.23
1965,-5.50,-4.30,999.90,-3.10,-2.00,1.20,3.60,5.80,3.00,1.90,-3.30,-7.60,-5.40,-3.51,3.53,0.53,-1.21
1966,-11.10,-8.90,-8.70,-1.20,-1.20,3.30,4.90,4.00,1.30,-0.70,-3.70,-4.20,-9.20,-3.70,4.07,-1.03,-2.47
1967,-7.90,-3.80,-9.20,-4.30,-1.00,1.10,3.50,3.40,3.00,-2.80,-5.90,-5.50,-5.30,-4.83,2.67,-1.90,-2.34
1968,999.90,999.90,999.90,-5.10,-3.10,1.00,999.90,999.90,2.40,-3.50,-1.80,-8.30,999.90,-5.06,999.90,-0.97,999.90
1969,-9.70,999.90,-9.70,-5.20,-1.20,2.60,5.10,6.70,2.20,-2.20,-6.10,-7.10,-9.21,-5.37,4.80,-2.03,-2.95
1970,999.90,999.90,999.90,-4.40,0.10,2.80,3.70,4.40,2.70,0.00,-1.90,-5.50,999.90,-3.11,3.63,0.27,-0.96
1971,-9.90,-4.80,-7.30,-4.60,0.00,2.50,3.60,4.40,2.50,1.30,-8.80,-5.90,-6.73,-3.97,3.50,-1.67,-2.22
1972,-1.00,-6.10,-5.00,-3.50,0.00,2.90,5.30,4.40,3.20,-0.50,-1.80,-1.70,-4.33,-2.83,4.20,0.30,-0.67
1973,-1.90,-12.50,-6.50,-7.30,-0.80,1.90,4.10,5.10,4.10,-1.00,-7.30,-6.50,-5.37,-4.87,3.70,-1.40,-1.98
1974,-1.30,-3.70,-1.20,-1.30,0.90,3.10,3.70,4.50,2.90,1.30,0.60,-5.50,-3.83,-0.53,3.77,1.60,0.25
1975,-6.70,-3.50,-5.80,-4.90,-1.50,0.60,4.10,5.20,1.40,0.90,-1.50,-8.30,-5.23,-4.07,3.30,0.27,-1.43
1976,-6.50,-2.50,-1.40,-4.30,0.40,3.00,5.10,5.30,2.80,3.30,-2.60,-3.00,-5.77,-1.77,4.47,1.17,-0.47
1977,-5.80,-5.10,-8.10,-5.50,-1.40,1.50,4.00,4.20,2.80,1.10,-2.70,-2.20,-4.63,-5.00,3.23,0.40,-1.50
1978,-6.80,-9.40,-5.40,-2.60,-0.60,2.10,4.50,5.60,3.10,0.30,-5.70,-4.40,-6.13,-2.87,4.07,-0.77,-1.43
1979,-9.70,-6.70,-4.90,-3.30,-2.60,1.80,3.90,5.40,2.20,1.30,-2.30,-1.20,-6.93,-3.60,3.70,0.40,-1.61
1980,-3.20,-4.80,-2.70,-2.60,0.90,2.70,5.00,5.20,3.20,-2.10,-4.00,-6.70,-3.07,-1.47,4.30,-0.97,-0.30
1981,-7.70,-5.20,-6.90,-4.00,-0.70,0.60,3.70,4.60,2.10,-1.00,-2.80,-6.00,-6.53,-3.87,2.97,-0.57,-2.00
1982,-9.00,-3.50,-4.60,-5.80,-1.90,0.70,3.60,4.70,1.40,0.90,-3.00,-4.20,-6.17,-4.10,3.00,-0.23,-1.87
1983,-4.10,-4.90,-5.30,-3.30,-0.10,1.60,4.40,4.30,2.00,-1.40,-1.80,-4.50,-4.40,-2.90,3.43,-0.40,-1.07
1984,-3.00,-1.30,-3.30,-0.40,-0.50,2.70,4.60,5.10,3.40,1.00,-0.10,0.40,-2.93,-1.40,4.13,1.43,0.31
1985,-3.50,-5.20,-4.60,-5.80,0.10,2.00,5.00,4.80,2.10,-0.30,-3.40,-7.30,-2.77,-3.43,3.93,-0.53,-0.70
1986,-5.90,-6.00,-4.40,-3.60,-0.70,2.70,3.60,5.20,2.60,1.20,-2.00,-2.00,-6.40,-2.90,3.83,0.60,-1.22
1987,-2.60,-9.30,-4.20,-1.60,0.20,2.50,5.30,4.80,3.60,0.80,-2.10,-11.00,-4.63,-1.87,4.20,0.77,-0.38
1988,-10.90,-3.30,-7.70,-7.10,-1.00,1.50,4.40,5.80,3.10,0.40,-4.60,-8.70,-8.40,-5.27,3.90,-0.37,-2.53
1989,-6.80,-5.90,-6.90,-1.80,-1.10,1.60,4.50,5.70,5.70,0.40,-1.00,-6.70,-7.13,-3.27,3.93,1.70,-1.19
1990,-4.20,-4.90,-5.40,-4.20,-0.70,2.60,4.40,4.80,4.90,0.60,0.90,-2.50,-5.27,-3.43,3.93,2.13,-0.66
1991,-1.10,-2.40,-2.40,-3.60,-0.40,2.10,5.60,6.20,3.30,0.90,-1.90,-3.70,-2.00,-2.13,4.63,0.77,0.32
1992,-4.20,-4.90,-5.50,-4.30,-0.80,2.60,4.40,4.80,4.90,0.60,0.90,-2.50,-4.27,-3.53,3.93,2.13,-0.43
1993,-5.30,-5.90,-3.70,-1.80,-0.80,1.80,5.30,5.20,3.20,-0.50,1.60,-3.20,-4.57,-2.10,4.10,1.43,-0.28
1994,-5.20,-2.10,-2.80,-1.50,0.60,2.60,5.20,5.10,3.00,-2.50,-1.20,-2.90,-3.50,-1.23,4.30,-0.23,-0.17
1995,-3.40,-4.40,-3.60,-3.20,-0.20,2.80,3.50,4.60,2.40,0.60,-1.70,-4.30,-3.57,-2.33,3.63,0.43,-0.46
1996,-1.10,-5.40,-2.60,-3.20,-1.80,1.90,4.90,5.50,3.80,-0.20,-4.00,-6.00,-3.60,-2.53,4.10,-0.13,-0.54
1997,-8.80,-3.10,-5.00,-4.50,-1.10,1.80,4.20,5.70,2.60,-1.00,-1.50,-1.90,-5.97,-3.53,3.90,0.03,-1.39
1998,-6.70,-6.00,-5.60,-2.10,-0.50,2.50,5.10,6.50,4.00,1.60,-0.80,-2.70,-4.87,-2.73,4.70,1.60,-0.32
1999,-3.00,-3.80,-1.70,-2.40,1.70,3.80,5.60,5.40,4.70,2.10,-0.80,-4.40,-3.17,-0.80,4.93,2.00,0.74
2000,-4.50,-3.80,-6.20,-4.20,0.30,1.60,5.20,6.30,4.90,2.70,0.60,-4.40,-4.23,-3.37,4.37,2.73,-0.12
2001,-7.90,-6.20,-7.30,-4.40,0.10,2.20,4.90,6.40,4.40,2.00,-3.40,-1.50,-6.17,-3.87,4.50,1.00,-1.13
2002,-3.70,-5.70,-4.60,-1.00,1.20,4.70,6.90,7.20,4.30,2.70,2.00,0.50,-3.63,-1.47,6.27,3.00,1.04
